AQC00914000,-14.3167,-170.7667,408.4,AS
AQW00061705,-14.3306,-170.7136,3.7,AS
CQC00914080,15.2136,145.7497,252.1,MP
CQC00914801,14.1717,145.2428,179.2,MP
CQC00914855,15.1189,145.7294,65.5,MP
CQC00914874,15,145.6333,81.7,MP
FMC00914213,9.4508,138.062,15.2,FM
FMC00914325,1.0833,154.8,2.7,FM
FMC00914395,5.3544,162.9533,2.1,FM
FMC00914419,5.5167,153.8167,1.5,FM
FMC00914429,9.4833,138.0833,10.1,FM
FMC00914446,9.6053,138.1786,14.9,FM
FMC00914482,6.8456,158.3064,9.1,FM
FMC00914585,9.5742,138.1108,3,FM
FMC00914590,3.85,155.0167,2.4,FM
FMC00914705,6.9053,158.1586,45.7,FM
FMC00914720,6.2167,160.7,2.4,FM
FMC00914761,7.35,149.2,2.1,FM
FMC00914808,9.6244,138.1592,19.8,FM
FMC00914831,9.55,138.15,21.3,FM
FMC00914892,10.0333,139.8,1.8,FM
FMC00914898,5.2739,162.9742,4,FM
FMC00914911,7.3833,143.9167,2.1,FM
FMW00040308,9.4833,138.0833,13.4,FM
FMW00040504,6.9667,158.2167,36.6,FM
FMW00040505,7.45,151.8333,1.5,FM
GQC00914001,13.3894,144.6575,3,GU
GQC00914025,13.5761,144.9281,190.2,GU
GQC00914156,13.52,144.8472,106.7,GU
GQC00914468,13.4528,144.7981,18.3,GU
GQC00914950,13.5478,144.8928,160,GU
GQW00041415,13.4836,144.7961,77.4,GU
JQW00021603,16.7333,-169.5167,3,UM
MQW00022701,28.2,-177.3833,5.5,UM
PSC00914519,7.45,134.5,31.1,PW
PSW00040309,7.3333,134.4833,28.7,PW
RMC00913915,7.2667,168.8333,1.8,MH
RMC00914304,5.9167,169.65,1.8,MH
RMC00914487,6.0833,171.7333,3,MH
RMC00914903,9.4667,170.25,1.8,MH
RMW00040604,8.7333,167.7333,2.1,MH
RMW00040710,7.0833,171.3833,3,MH
RQC00660040,18.1469,-66.4919,598.9,PR
RQC00660053,18.1614,-66.7222,506,PR
RQC00660061,18.1747,-66.7978,557.8,PR
RQC00660152,17.9556,-66.2222,7.6,PR
RQC00660158,18.1281,-66.2642,710.2,PR
RQC00660426,18.3494,-66.7525,323.1,PR
RQC00660668,18.4286,-66.5631,73.2,PR
RQC00660948,17.9906,-66.8161,4.6,PR
RQC00661142,18.2258,-66.5039,554.7,PR
RQC00661309,18.2333,-66.05,79.2,PR
RQC00661345,18.4725,-67.1156,85,PR
RQC00661590,18.3792,-65.8939,9.1,PR
RQC00661901,18.1189,-66.1658,395,PR
RQC00662316,17.9833,-66.8167,9.1,PR
RQC00662330,18.2764,-66.5194,291.1,PR
RQC00662336,18.1547,-66.562,1219.8,PR
RQC00662634,18.1833,-66.15,426.7,PR
RQC00662723,18.0664,-66.3781,111.3,PR
RQC00662801,18.3808,-67.1569,12.2,PR
RQC00662934,18.3267,-66.3592,198.1,PR
RQC00663023,18.0836,-66.6547,175,PR
RQC00663409,18.4722,-66.3058,1.5,PR
RQC00663431,18.3361,-66.6667,61,PR
RQC00663532,17.9728,-66.9458,45.7,PR
RQC00663657,18.3103,-65.6631,9.1,PR
RQC00663904,18.3964,-66.9244,202.1,PR
RQC00664126,18.0742,-66.4967,112.8,PR
RQC00664193,17.9783,-66.0875,21.9,PR
RQC00664276,18.2583,-65.9922,48.8,PR
RQC00664340,18.45,-66.7667,64.9,PR
RQC00664702,18.4653,-67.0525,128,PR
RQC00664867,18.0717,-66.1428,719.3,PR
RQC00664910,18.215,-66.5931,469.4,PR
RQC00665020,18.0514,-66.4986,79.9,PR
RQC00665064,18.2264,-65.9114,64.9,PR
RQC00665097,18.0331,-67.0722,27.4,PR
RQC00665123,18.3167,-66.1,88.4,PR
RQC00665807,18.4308,-66.4661,76.2,PR
RQC00666050,18.0094,-65.8989,14.9,PR
RQC00666073,18.1875,-67.1378,22.6,PR
RQC00666083,18.2539,-67.1486,11.6,PR
RQC00666258,18.0908,-67.9442,2.1,PR
RQC00666270,18.3794,-66.5153,195.1,PR
RQC00666361,18.4736,-67.0289,125,PR
RQC00666390,18.3344,-66.4078,182.9,PR
RQC00666514,18.2886,-66.3433,538.3,PR
RQC00666805,18.265,-65.7208,109.7,PR
RQC00666900,18.0025,-66.0128,13.7,PR
RQC00666983,18.0586,-66.7183,143.3,PR
RQC00666992,18.2708,-65.7592,1051,PR
RQC00667292,18.0258,-66.5253,21.3,PR
RQC00667295,17.985,-66.6294,3,PR
RQC00668144,18.2433,-65.785,39.6,PR
RQC00668306,18.3906,-66.0542,28,PR
RQC00668815,18.1517,-65.9589,155.4,PR
RQC00668940,17.9692,-66.3772,9.1,PR
RQC00669421,18.4333,-66.2667,7.9,PR
RQC00669432,18.1731,-66.4928,868.1,PR
RQC00669521,18.3283,-66.0164,35.1,PR
RQC00669608,18.2617,-66.6864,158.5,PR
RQC00669774,18.1094,-66.5056,120.4,PR
RQC00669860,18.0436,-66.8606,53.9,PR
RQW00011603,18.4981,-67.1294,66.4,PR
RQW00011630,18.255,-65.6408,10.1,PR
RQW00011641,18.4325,-66.0108,2.7,PR
USC00010008,31.5703,-85.2483,139,AL
USC00010063,34.2553,-87.1814,249.3,AL
USC00010140,32.2322,-87.4103,53.3,AL
USC00010160,32.9453,-85.9481,195.1,AL
USC00010184,33.21,-88.2878,50.3,AL
USC00010252,31.3072,-86.5225,76.2,AL
USC00010369,33.2942,-85.7789,311.5,AL
USC00010390,34.7753,-86.9508,210,AL
USC00010402,31.1819,-87.4389,91.4,AL
USC00010425,32.5992,-85.4653,166.1,AL
USC00010430,32.6,-85.5,198.7,AL
USC00010440,32.4706,-86.68,61,AL
USC00010505,33.4528,-87.3572,85.3,AL
USC00010583,30.8839,-87.7853,82.6,AL
USC00010655,34.6908,-86.8825,182.9,AL
USC00010764,33.3953,-87.0078,135.6,AL
USC00010957,34.2008,-86.1633,326.1,AL
USC00011084,31.0581,-87.0547,25.9,AL
USC00011099,34.9786,-85.8008,204.2,AL
USC00011178,31.7056,-85.8369,138.7,AL
USC00011288,33.0944,-86.7456,161.5,AL
USC00011301,32.0289,-87.3167,71.6,AL
USC00011620,33.285,-86.3431,127.4,AL
USC00011690,31.6167,-87.55,15.2,AL
USC00011694,32.8203,-86.6522,185.9,AL
USC00011810,31.7556,-88.1283,14,AL
USC00012096,34.1925,-86.7972,247.2,AL
USC00012172,30.2506,-88.0775,2.4,AL
USC00012245,32.5192,-87.88,30.5,AL
USC00012577,31.4239,-86.0667,59.4,AL
USC00012675,31.2975,-85.8997,102.7,AL
USC00012730,32.0111,-85.09,70.1,AL
USC00012758,31.445,-86.9533,88.4,AL
USC00012813,30.5467,-87.8808,7,AL
USC00012883,33.6847,-87.8214,111.3,AL
USC00013154,34.0219,-85.9878,172.2,AL
USC00013251,31.0383,-85.8708,44.2,AL
USC00013271,31.6772,-86.8061,91.4,AL
USC00013511,32.7019,-87.5817,67.1,AL
USC00013519,31.79,-86.6086,104.2,AL
USC00013573,34.3344,-86.3297,176.2,AL
USC00013620,34.2314,-87.6353,280.4,AL
USC00013645,34.0967,-87.9914,132.6,AL
USC00013655,34.0675,-86.7917,180.4,AL
USC00013761,31.3625,-85.3397,112.8,AL
USC00013775,33.6483,-85.6006,259.1,AL
USC00013930,33.2533,-87.45,59.4,AL
USC00014080,32.2464,-85.4142,122.5,AL
USC00014193,31.5253,-87.9278,67.1,AL
USC00014209,33.8164,-85.7661,209.7,AL
USC00014226,33.9047,-87.3153,148.1,AL
USC00014274,32.3236,-86.7828,44.5,AL
USC00014431,31.2403,-86.1947,82.3,AL
USC00014603,32.9633,-86.5203,128,AL
USC00014619,33.5444,-86.5275,193.9,AL
USC00014798,32.5811,-88.1897,39,AL
USC00015112,32.7028,-87.2681,52.4,AL
